icd10,b_mcr,se_mcr,b_total,se_total
C3411,664.07666,71.968224,727.22473,74.64695
C3412,507.65326,80.320618,563.21246,83.310226
C3431,636.54132,94.707138,695.39734,98.232224
C3490,-590.89307,40.0163,-651.88867,41.505745
C3491,-177.89156,75.305832,-204.78061,78.108788
C3492,-186.5468,168.33104,-212.81778,174.59647
C50911,402.75317,166.91638,438.29538,173.12917
C50912,390.95224,82.665413,420.62833,85.742294
C50919,-63.394905,57.092537,-42.442856,59.217575
C541,883.85681,100.99947,932.0155,104.75876
C569,177.49551,90.334129,209.44054,93.696449
C61,590.65564,37.210331,672.82953,38.595333
C679,865.46234,55.559307,849.20508,57.627277
C771,2482.0139,109.41146,2566.5469,113.48386
C772,3903.1846,99.616585,4003.9309,103.32441
C779,1544.6844,213.62715,1591.7847,221.57857
C7800,-116.54534,60.791706,-154.3423,63.054428
C7801,544.49231,103.3998,585.66815,107.24844
C7802,665.94165,110.12852,663.88275,114.22762
C786,2177.6758,73.716797,2242.0747,76.460609
C787,-698.22949,45.359089,-695.05151,47.047394
C7931,279.94867,60.868942,277.23676,63.134544
C7951,668.45325,42.250084,696.05768,43.822674
C7989,3537.5637,73.341003,3645.9482,76.070831
C799,237.7337,89.853516,206.27246,93.197945
C801,1149.3182,100.75277,1183.3083,104.50288
C8330,3926.4253,116.43697,3916.0452,120.77087
C8590,1039.5994,69.188301,1063.4965,71.763557
C9000,1219.925,57.003475,1230.6066,59.125198
C9110,684.08398,62.872894,719.37927,65.213081
C9200,8720.9268,92.955696,8881.0029,96.415596
D122,748.33496,156.37503,794.49634,162.19547
D320,3744.8367,98.243675,3920.2161,101.9004
D469,64.306664,59.969734,46.100838,62.201862
D472,556.2218,73.973679,547.52692,76.727051
D473,1582.3661,61.139263,1588.7052,63.414925
D500,854.06995,30.823074,883.08203,31.970339
D508,-9.4771891,75.883629,79.586632,78.708092
D509,160.33429,19.699661,174.74622,20.432901
D519,-756.52637,72.788795,-721.77936,75.498062
D539,81.807907,41.524078,50.070488,43.069645
D61810,7011.4419,71.288971,7089.624,73.942413
D61818,1162.7831,36.553272,1222.3428,37.913822
D62,6692.7534,17.377439,6856.7896,18.024244
D630,1221.8301,58.89352,1181.4375,61.08559
D631,170.11913,22.861643,177.00635,23.712576
D638,578.18591,22.595747,595.38995,23.436783
D6481,-1399.3904,79.479774,-1484.8525,82.438087
D6489,605.2287,61.509182,655.80591,63.798615
D649,732.50787,11.408676,763.10767,11.833318
D65,9441.4336,106.65471,9665.9463,110.6245
D6832,961.78137,80.021477,961.91138,82.999954
D684,6263.9331,100.77314,6340.8125,104.52401
D6851,1038.1129,94.782944,1116.0785,98.31086
D6859,1594.5925,82.975838,1650.0397,86.064278
D6869,731.33405,138.47752,758.90045,143.63179
D689,5138.0547,46.492531,5234.7915,48.223026
D693,2024.5645,84.380959,2077.4348,87.521698
D6959,1530.2408,46.257648,1564.1482,47.979401
D696,1208.7162,19.580191,1254.3962,20.308985
D701,-1079.6097,109.97301,-1116.3065,114.06631
D709,1048.7117,65.85891,1066.046,68.310242
D72819,-31.754934,61.525696,12.302081,63.815739
D72828,1168.3136,100.01031,1193.9005,103.73279
D72829,1074.6956,19.451828,1120.9805,20.175842
D751,-20.824469,88.146667,63.151222,91.427574
D7582,7356.2847,192.51152,7569.4927,199.67699
D7589,-272.18039,85.430603,-240.506,88.610413
D801,3674.1321,138.51575,3822.0095,143.67143
D869,623.98364,88.649948,662.62054,91.949585
E038,658.31274,63.262447,707.79443,65.617134
E039,257.32767,10.576522,335.73245,10.97019
E041,909.79059,66.75135,931.48041,69.235893
E042,585.99146,78.91198,602.12805,81.849159
E0590,713.51984,60.927578,751.00769,63.195362
E063,1769.0388,205.28583,1875.12,212.92676
E079,398.80481,62.203091,442.83405,64.518349
E1010,-119.65769,89.564667,-88.770195,92.898354
E1022,346.66705,82.293716,360.37277,85.356766
E10319,1202.7432,126.68204,1235.4071,131.39726
E1040,508.26898,147.72418,520.48285,153.22261
